year,passengers_millions,notes
1990,3.8,
1991,4.1,
1992,4.3,
1993,4.7,
1994,4.8,
1995,4.8,
1996,5.1,
1997,5.5,
1998,6.1,
1999,6.6,
2000,6.9,
2001,7.6,Mild post-9/11 dip
2002,7.6,
2003,8.7,SARS limited impact
2004,9.6,
2005,10.6,
2006,11.3,
2007,12.0,
2008,12.6,Financial crisis - no impact on cruises
2009,13.0,
2010,13.4,
2011,14.8,
2012,16.3,
2013,16.9,
2014,17.5,
2015,18.4,
2016,21.6,
2017,25.2,
2018,26.7,
2019,28.5,Pre-COVID peak
2020,5.8,COVID-19 industry shutdown
2021,14.8,Partial recovery
2022,24.0,Strong rebound
2023,31.7,107% of 2019 levels
2024,34.6,New record
2025,37.7,Projected CLIA forecast
